HCO Name,Address,Contact,Accreditation Number (Acc. No.),Accreditations / Certifications
Virutcham Hospital,Virutcham Hospital Thiruvallur Tamil Nadu,NA,PESHCO-2026-11978,Certified
Visakha Eye Hospital,"D.No:8-1-64, Pedda Waltair, Visakhapatnam, Visakhapatnam, Andhra Pradesh, India, 530017",Visit Website +91 77992 22251,ECO-2018-0028,Accredited
Vishal Eye Centre,"JAGADHRI ROAD, OPPOSITE DIMPLE CINEMA, JAGADHRI, YAMUNANAGAR, Haryana, India, 135003",NA,ECO-2025-0566,Accredited
Vishal eye hospital,"nangal road, una, Una, Himachal Pradesh, 174303",Visit Website +91 98160 55925,EYE/2023/E0288,Empaneled
Vishal eye hospital,"nangal road, una, Una, Himachal Pradesh, 174303",NA,EYE/2025/RNE0739,Empaneled
Vishal Hospital,Vishal Hospital Yamunanagar Haryana,NA,PESHCO-2021-4363,Certified
Vishal Hospital,"NEAR JAI BHARTI SCHOOL, NARKATARI ROAD, KURUKSHETRA, Kurukshetra, Haryana, 136118",NA,PESHCO-2025-11237,Certified
"Vishal Hospital, Agarsen Chowk, Opp Dimple Cinema","Vishal Hospital, Agarsen Chowk, Opp Dimple Cinema Jagadhri Haryana",+91 83979 04343,2020-1780,Empaneled
Vishal Medicare Centre,"WAED.NO 3 ASHOK NAGAR SURIYAWAN BHADOHI UTTAR PRADESH 221404, Sant Ravidas Nagar, Uttar Pradesh, 221402",+91 94507 11351,PESHCO-2024-10203,Certified
Vishal Plus Kims Ayurveda Panchkarma Hospital,"G-79 Indira Nagar , Behind Dhanwantari Hospital , Near Roadways Bus , Jhunjhunu, Rajasthan, India, 333001",+91 95095 02698,AH-2024-0256,Accredited
Vishesh Jupiter Hospital (Unit of Jupiter Hospital Projects Pvt. Ltd.),"Ring Road, Scheme No. 94, Sector No.1 Indore - 452020, Madhya Pradesh",Visit Website +91 731 471 8111,H-2023-1233,Accredited
Vishesh Jupiter Hospital (Unit of Jupiter Hospital Projects Pvt. Ltd.),"Ring Road, Scheme No. 94, Sector No.1, Indore - 452020, Indore, Madhya Pradesh, 452020",Visit Website +91 731 471 8111,DH-G-2024-0013,Accredited
Vishnoi Dental Hospital,"3A/271 AZAD NAGAR, AZAD NAGAR, KANPUR, KANPUR, Uttar Pradesh, India, 208002",Visit Website +91 63935 61560,D-2023-0355,Accredited
Vishnoi Hospital and Surgical Center,"Naya Bus Stand, Behind Bharat Petrol Pump Pachpadra Road, Balotra Barmer - 344022, Rajasthan",+91 94605 89283,H-2025-1510,Accredited
Vishnu ENT Hospital,"109,A.K.NAGAR N.S.R.ROAD, SAIBABA COLONY, COIMBATORE, TAMILNADU, Tamil Nadu, India, 641011",Visit Website +91 422 244 6049,PESHCO-2020-3345,Certified
Vishnu Eye Clinic,"C-46, SECOND AVENUE,, ANNANAGAR EAST,, CHENNAI, CHENNAI, Tamil Nadu, India, 600102",Visit Website +91 44 2626 1188,PESHCO-2018-0318,Certified
Vishvas Pshychiatric and Deaddiction Hospital,"Sangwan Chowk, Near Sharma Petrol Pump, sirsa, Sirsa, Haryana, 125055",Visit Website +91 90504 15007,PESHCO-2024-9532,Certified
Vishwa Institute of Urology Centre,Vishwa Institute of Urology Centre Nanded Maharashtra,NA,PESHCO-2023-7314,Certified
VISHWAMAL ORAL AND DENTAL MULTISPECILITY CLINIC,"HIRANWAR LODGE NEAR TELEPHONE EXCHANGE OPPOSITE ST BUS STAND BHANDARA, Bhandara, Maharashtra, 441904",NA,DEN/2022/C0131,Empaneled
Vishwas Pain Relief and Multispeciality Hospital,Vishwas Pain Relief and Multispeciality Hospital Charkhi Dadri Haryana,NA,PESHCO-2026-12035,Certified
Vishwas Pain Relief and Multispeciality Hospital,"Mejban Chowk, Loharu Road, Charkhi Dadri - 127306, Charkhi Dadri , Haryana, 127306",NA,HOS/2025/E3358,Empaneled
Vision 6/6 Netralaya,Vision 6/6 Netralaya Raisen Madhya Pradesh,NA,PESHCO-2026-11920,Certified
"Vision Care & Research Centre, E-7/378, Arera Colony Opp. Hanuman Mandir 1100 Quarters, Huzur","Vision Care & Research Centre, E-7/378, Arera Colony Opp. Hanuman Mandir 1100 Quarters, Huzur Bhopal Madhya Pradesh",NA,2019-1204,Empaneled
Vision Care Center Superspeciality Eye Hospital,"SUSHILA PARK,BEHIND SURAJ NAGAR NEAR PANCHAYAT SAMITI,SHIRUR,DIST PUNE ,MAHARASHTRA, Shirur, Maharashtra, 412210",Visit Website +91 82828 25959,PESHCO-2021-5414,Certified
"Vision Care Centre, E-16/389. 392, Sector-8 on the main dividing road of sector 7 & 8, Rohini","Vision Care Centre, E-16/389. 392, Sector-8 on the main dividing road of sector 7 & 8, Rohini Delhi Delhi",NA,2015-0262,Empaneled
Vision Care Eye Hospital,"1sr. Tota Street ,in front santoshima Temple,Bijipur,Berhampur-760005, Ganjam, Orissa, 760005",NA,PESHCO-2025-10970,Certified
Vision Centre,Vision Centre Indore Madhya Pradesh,NA,PESHCO-2021-5184,Certified
Vision Dental Care,"RZ 529/405, Shiv Puri, GAli No-15, West Sagarpur, Near Dashratpuri metro station, Delhi, Southwest , Delhi, India, 110045",NA,D-2025-0504,Accredited
Vision Eye Care Centre Pvt. Ltd.,"VISION EYE CENTRE PVT LTD, 19 SIRI FORT ROAD, NEW DELHI, NEW DELHI, Delhi, India, 110049",Visit Website +91 97110 04422,ECO-2023-0415,Accredited
Vision Eye Care & Retina Clinic,"A /63, Near JANTA PATHOLOGY, Gandhi Nagar Park Ke Samne, Moradabad, Moradabad, Uttar Pradesh, India, 244001",Visit Website +91 99204 61916,ECO-2024-0539,Accredited
Vision Eye Care Hospital,"501/B. 5th FLOOR, REAL AURA BUILDING NO.1, OPP.BARONET COMPLEX, TOLL NAKA, RAMNAGAR, SABARMATI, Ahmedabad, Gujarat, 380005",Visit Website +91 93166 34366,PESHCO-2022-6277,Certified
Vision Eye Care Hospital,"IN FRONT OF ARUN DAIRY, NEAR TELEGRAPH FACTORY GATE NO.4 WRIGHT TOWN , Jabalpur, Madhya Pradesh, 482002",Visit Website +91 76124 14171,PESHCO-2022-5919,Certified
VISION EYE CARE HOSPITAL,"IN FRONT OF ARUN DAIRY, NEAR TELEGRAPH FACTORY GATE NO.4 WRIGHT TOWN , Jabalpur, Madhya Pradesh, 482002",NA,EYE/2025/C0793,Empaneled
VISION EYE CARE HOSPITAL,VISION EYE CARE HOSPITAL Jabal pur Madhya Pradesh,NA,EYE/2022/C0057,Empaneled
VISION EYE CARE HOSPITAL,VISION EYE CARE HOSPITAL Jabalpur Madhya Pradesh,NA,EYE/2022/C0057,Empaneled
VISION EYE CENTRE,"12/27 WEST PATEL NAGAR, NEW DELHI, NEW DELHI-110008, West Delhi, Delhi, 110008",NA,EYE/2025/E0654,Empaneled
"Vision Eye Centre, 12/27, West Patel Nagar","Vision Eye Centre, 12/27, West Patel Nagar Delhi Delhi",NA,2015-0309,Empaneled
VISION EYE HOSPITAL,"A6, BHAGAT SINGH COLONY, ALWAR BYPASS, BHIWADI, North West Delhi, Delhi, 302019",NA,EYE/2025/C0802,Empaneled
Vision Eye Hospital,Vision Eye Hospital North West Delhi Delhi,NA,EYE/2024/E0371,Empaneled
"Vision Eye Hospital, F-24/136, Sector 7, Rohini","Vision Eye Hospital, F-24/136, Sector 7, Rohini Delhi Delhi",NA,2015-0194,Empaneled
Vision First Eye Hospital,"Indira Gandhi Nagar, Jagatpura, Jaipur , Jaipur, Rajasthan, 302017",NA,PESHCO-2025-11434,Certified
Vision First Eye Hospital,"Indra Gandhi Nagar, Jagatpura, Jaipur, Jaipur, Rajasthan, 302025",NA,EYE/2025/C0792,Empaneled
Vision Plus Eye Centre,"Kisan Tower ,Capt Shashikant Sharma Marg , Hosphiyarpur , Sector 51,Noida , Uttar Pradesh , Uttar Pradesh, India, 201301",NA,ECO-2025-0621,Accredited
"Vision Plus Eye Centre, Kisan Tower, Golf Marg, Sec-51","Vision Plus Eye Centre, Kisan Tower, Golf Marg, Sec-51 Noida Uttar Pradesh",NA,2018-0769,Empaneled
VISION PLUS EYE HOSPITAL,VISION PLUS EYE HOSPITAL Amritsar Punjab,NA,EYE/2024/E0461,Empaneled
Vision Plus Eye Hospital,"AMRITSAR, Amritsar, Punjab, 143001",+91 98141 21234,PESHCO-2025-10855,Certified
"Vision Plus Eye Hospital, A,Ranjit Avenue, Ajnala Road","Vision Plus Eye Hospital, A,Ranjit Avenue, Ajnala Road Amritsar Punjab",NA,2020-1423,Empaneled
"Vision Plus Eye Hospital, Ajnala Road","Vision Plus Eye Hospital, Ajnala Road Amritsar Punjab",+91 98141 21234,2016-0916,Empaneled
Vision The Eye and Retina Centre,"B-29, SECTOR - C, ALIGUNJ, Lucknow, Uttar Pradesh, 226021",+91 522 233 4459,PESHCO-2021-5308,Certified
Vision-X Eye hospital And Retina Centre,"757,opp.Reliance petrol pump, Gokul nagar,kalwar road, Jaipur, Jaipur, Rajasthan, India, 302012",NA,ECO-2025-0608,Accredited
"Visioncare Eye & Laser Centre, 48, Near Radha Govind Mandap Garh Road","Visioncare Eye & Laser Centre, 48, Near Radha Govind Mandap Garh Road Meerut Uttar Pradesh",NA,2018-0941,Empaneled
VISITECH EYE CENTRE,"D-10 GREEN PARK MAIN, FIRST FLOOR, South Delhi, Delhi, 110016",NA,EYE/2022/C0022,Empaneled
Visitech Eye Centre,"PLOT NO.2, POCKET -1, JASOLA VIHAR, NEW DELHI, SOUTH DELHI, Delhi, India, 110025",Visit Website +91 11 4266 5111,ECO-2021-0202,Accredited
Visitech Eye Centre (A Unit of Jasola Healthcare LLP),Visitech Eye Centre (A Unit of Jasola Healthcare LLP) Delhi Delhi,NA,ECO-2026-0637,Accredited
"Visitech Eye Centre (unit of Jasola Health Care LLP),","Visitech Eye Centre (unit of Jasola Health Care LLP), Delhi Delhi",NA,2017-0724,Empaneled
"Visitech Eye Centre, A-10, South Extension Part-II","Visitech Eye Centre, A-10, South Extension Part-II New Delhi Delhi",Visit Website +91 62629 99333,2012-0070,Empaneled
VISM Hospital,"VISM CAMPUS, TURARI NH- 75, JHANSHI ROAD, GWALIOR, (M.P)-474001, Gwalior, Madhya Pradesh, 474001",Visit Website +91 83700 04117,PEH-2025-2935,Certified
Visshwas Hospital & Trauma Centre,"NEAR RAILWAY CROSSING KALKA HIGHWAY PINJORE, VILL:PINJORE, TEHSIL:KALKA, DISTT: PANCHKULA, Panchkula, Haryana, 133302",NA,PESHCO-2025-10359,Certified
VISTA HOSPITAL PRIVATE LIMITED,"PLOT NO. 1/1103, NEAR PATNA CENTRAL SCHOOL, BYPASS ROAD, JAGANPURA, PATNA, BIHAR , Patna, Bihar, 800027",NA,HOS/2024/C1502,Empaneled
VISTA HOSPITAL PRIVATE LIMITED,VISTA HOSPITAL PRIVATE LIMITED Patna Bihar,NA,HOS/2024/E1914,Empaneled
Vista Hospital Private Limited,"PLOT NO 1/1103, NEAR PATNA CENTRAL SCHOOL, BYPASS ROAD, JAGANPURA, PATNA, Patna, Bihar, 800027",Visit Website +91 93415 09200,PEH-2024-2720,Certified
Visual Eyes Hospital,"F-1 6-10 Madhav Club Road, Teen Batti Chauraha, Ujjain, Madhya Pradesh, 456001",Visit Website +91 89820 66690,PESHCO-2022-6947,Certified
VISWABHARATHI GENERAL HOSPITAL,"SURVEY NO:630;R.T NAGAR;BELLARY ROAD, Kurnool, Andhra Pradesh, 518467",NA,HOS/2024/E2384,Empaneled
Viswanadha Hospital,"T Nagar Rajahmundry, East Godavari, Andhra Pradesh, 533101",Visit Website +91 883 242 6164,PESHCO-2025-10778,Certified
Viswass Multispeciality Hospital,"RAJGHAR ROAD ,AZAD NAGAR, HISAR, Hisar, Haryana, 125001",NA,PESHCO-2024-10066,Certified
Vital Dental,"# 15, SECTOR -15- A, CHANDIGARH, CHANDIGARH, Chandigarh, India, 160015",NA,D-2023-0320,Accredited
Vitals Multispeciality Hospital Pvt. Ltd.,"16, ASHAPURI SOCIETY, AKOTA, OPP SUB REGISTRAR OFFICE, VADODARA- 390020, Vadodara, Gujarat, 390020",Visit Website +91 82381 02102,SHCO-2024-0974,Accredited
Vithalkrupa Hospital,"Ground Floor, B1/B6, Ram Apartment, Near Apana Medical, Katemanivli Junction, Kalyan (East) 421306., Thane, Maharashtra, 421306",+91 97695 98394,PESHCO-2024-9665,Certified
Vitrag Hospital,"605, 6th Floor, Sai Milap Shoppers, Near Fire Station, Gaurav path Road, Palanpur, Surat, Surat, Gujarat, 395009",Visit Website +91 74340 24000,PESHCO-2025-10598,Certified
Vitrana Healthcare LLP,Vitrana Healthcare LLP Ghaziabad Uttar Pradesh,NA,MIS-2019-0087,Accredited
Vitrana Healthcare Llp,"PLOT NO 27, IN FORNT OF METRO PILLAR NO 196, PASCHIM VIHAR EXTN, paschim vihar extn, DELHI, DELHI, Delhi, India, 110063",Visit Website +91 70429 28881,MIS-2022-0173,Accredited
Vittala International Institute Of Ophthalmology,"C A SITE 1, 2ND CRS, 2ND MN, 7TH BLOCK, , HOSAKEREHALLI, BANASHANKARI 3RD STAGE, BANGALORE, KARNATAKA, Karnataka, India, 560085",Visit Website +91 80 2672 2214,ECO-2022-0282,Accredited
"Vittala International Institute of Opthalmology, 2nd Cross, 2nd Main, 7th Block Hosakerehalli, Banashankari 3rd Stage","Vittala International Institute of Opthalmology, 2nd Cross, 2nd Main, 7th Block Hosakerehalli, Banashankari 3rd Stage Bangalore Karnataka",NA,2015-0116,Empaneled
Viva Vision,"A -92, Freedom Fighter Enclave, IGNOU Road, New Delhi -110068, Delhi, Delhi, 110068",+91 99998 11338,PESHCO-2022-6456,Certified
Vivaan Hospital,Vivaan Hospital Palghar Maharashtra,NA,PESHCO-2026-11958,Certified
Vivacity Multi Specialty Hospital (A Unit of Nephro Care India Ltd.),"361/23, JESSORE ROAD(SOUTH), KOLKATA, PIN-700129, Kolkata, West Bengal, 700129",Visit Website +91 33 6904 6000,PEH-2025-2870,Certified
Vivan Superspeciality Hospital,"Plot No 1, Harsh Commercial Park, Garh Road, Meerut, Uttar Pradesh, 250004",NA,HOS/2025/C2633,Empaneled
Vivanta Critical Care Private Limited,"Dev heights , Beside LIC Office, Parasia Road Chhindwara - 480001, Madhya Pradesh",Visit Website +91 97097 02191,H-2024-1486,Accredited
Vivanta Hospital,"3rd Floor, B-Block, Radhe Signature, Sardar Chawk, Gandhinagar, Gujarat, 382421",+91 76000 91021,PESHCO-2024-10111,Certified
Viveda Ayush Clinic,Viveda Ayush Clinic Nashik Maharashtra,NA,EAC-2025-0049,Certified
Vivek Eye Hospital,"Opp. Hathi Park, Surkhab Chowk, sirsa, sirsa, Haryana, India, 125055",Visit Website +91 82220 03273,ECO-2021-0169,Accredited
VIVEK MULTISPECIALITY HOSPITAL,"MARAULI, MANDUADIH ROAD, Varanasi, Uttar Pradesh, 221108",NA,HOS/2025/C2597,Empaneled
Viveka Super Speciality Hospital & Research Centre Pvt. Ltd.,Viveka Super Speciality Hospital & Research Centre Pvt. Ltd. Nagpur Maharashtra,NA,H-2023-1290,Accredited
"Viveka Superspeciality Hospital & Research Centre Pvt. Ltd., Plot 1A, Naikk Layout, Subhash Nagar","Viveka Superspeciality Hospital & Research Centre Pvt. Ltd., Plot 1A, Naikk Layout, Subhash Nagar Nagpur Maharashtra",NA,2020-1511,Empaneled
Vivekanand Cancer and Superspeciality Hospital,"Plot No. P- 55 MIDC Latur, Latur, Maharashtra, 433531",NA,PESHCO-2025-11595,Certified
Vivekanand Eye Hospital,"11, Mayur Colony, Jai Hind College Road, Deopur, Dhule., Dhule, Maharashtra, 424002",Visit Website,PESHCO-2025-10524,Certified
Vivekanand General Hospital,Vivekanand General Hospital Hubli Karnataka,Visit Website +91 836 225 1002,2018-1305,Empaneled
Vivekanand Hospital,"Vivekanand Pratishthan Parishad Patparganj Road, Khureji Petrol Pump, Delhi, East Delhi, Delhi, India, 110051",Visit Website +91 92127 18333,AH-2024-0288,Accredited
Vivekanand Hospital,"Vidya Nagar, Signal Camp, Latur, Latur, Maharashtra, India, 413512",Visit Website +91 2382 255 905,PEH-2018-0660,Certified
Vivekanand Hospital,"Vivekananda Hospital, Mehdawal Road, Khalilabad, Khalilabad - 272175 (Near Maulana Azad Inter Collage), Sant Kabir Nagar, Uttar Pradesh, 272175",Visit Website +91 92081 44264,PESHCO-2025-10441,Certified
Vivekanand Hospital,"VIVEKANAND HOSPITAL, N.H.-92, GWALIOR ROAD, BHIND, DABOHA, M.P. (477001)., Gwalior, Madhya Pradesh, 477001",Visit Website,PEH-2025-2787,Certified
Vivekanand Hospital,"Fire Station Square , Bermunda, Bhubneshwar, Orissa, 751003",NA,PEH-2021-1404,Certified
Vivekanand Hospital (Multispeciality Hospital and Research Centre),"A/P BAMNOLI(KUPWAD) SANGLI, Sangli, Maharashtra, 416436",Visit Website,PEH-2024-2733,Certified
Vivekanand Hospital Pvt Ltd.,Vivekanand Hospital Pvt Ltd. Durgapur West Bengal,Visit Website +91 343 661 0360,2016-0740,Empaneled
VIVEKANAND HOSPITAL-MULTISPECIALITY HOSPITAL AND RESEARCH CENTRE BAMNOLI SANGLI,"NEAR ICCHADEVI TEMPLE,ICCHADEVI SQUARE,JALGAON, Sangli, Maharashtra, 425001",NA,HOS/2024/E2391,Empaneled
"Vivekanand Hospital, Vidya Nagar","Vivekanand Hospital, Vidya Nagar Latur Maharashtra",Visit Website +91 2382 255 905,2019-1633,Empaneled
Vivekanand Medical Care Hospital,Vivekanand Medical Care Hospital Namakkal Tamil Nadu,Visit Website +91 73731 00100,2018-1273,Empaneled
Vivekanand Medical Institute,Vivekanand Medical Institute Kangra Himachal Pradesh,Visit Website +91 98177 86177,HOS/2023/E1120,Empaneled
"Vivekanand Medical Institute (A Unit of Vivekanand Medical Research Trust), Mohal Holta, Near HP Central Agricultural University, Distt Kangra","Vivekanand Medical Institute (A Unit of Vivekanand Medical Research Trust), Mohal Holta, Near HP Central Agricultural University, Distt Kangra Palampur Himachal Pradesh",Visit Website +91 98177 86177,2013-0193,Empaneled
Vivekanand Nature- Cure Hospital and Yogashram,Vivekanand Nature- Cure Hospital and Yogashram Delhi Delhi,NA,EAH-2024-0061,Certified
Vivekananda Eye Hospital,Vivekananda Eye Hospital Tiruvannamalai Tamil Nadu,Visit Website +91 94425 29783,PESHCO-2018-0248,Certified
"Vivekananda Health Global (A Unit Of Vyasa Healthcare Pvt. Ltd.), HSR Layout","61,11TH MAIN Rd, SECTOR 6, HSR LAYOUT, BENGALURU , BENGALURU URBAN, Karnataka, India, 560102",Visit Website +91 95913 36226,PC-2024-0109,Accredited
Vivekananda Hospital (A Unit of Aditya Hospitals Pvt.Ltd.),"6-3-871/A, Greenlands Road Behind Snehalatha Complex, Begumpet, Hyderabad, Telangana 500016, Hyderabad, Telangana, 500016",Visit Website +91 72079 04418,PEH-2021-1595,Certified
Vivekananda Hospital Pvt. Ltd.,"Dr. Zakir Hussain Avenue Bidhannagar, Paschim Bardhaman Durgapur - 713206, West Bengal",Visit Website +91 343 661 0360,H-2025-1535,Accredited
Vivekananda Memorial Hospital,"A Unit of Swami Vivekananda Youth Movement, Hanchipura Road, Saraguru, Mysore, Karnataka, 571121",NA,PEH-2020-1139,Certified
Vivekananda Mission Asram Netra Niramay Niketan,"KUKRAHATI ROAD, VIVEKNAGAR, P.O.- CHAITANYAPUR, P.S.- SUTAHATA, DIST.- PURBA MEDINIPUR, PIN.- 721645, WEST BENGAL, INDIA, SUTAHATA, PURBA MEDINIPUR, West Bengal, India, 721645",Visit Website +91 3224 286 357,ECO-2024-0497,Accredited
Vivekananda Mission Asram Netra Niramay Niketan (Extn) (Eye Hospital),"Vill + P.O- Chandi, P.S - Bishnupur, Dist - South 24 Parganas, PIN- 743503, South 24 Parganas, West Bengal, 743503",Visit Website +91 33 2480 8095,PESHCO-2022-6948,Certified
Vivekananda Netralaya Hospital,"168,169 Rajpur Road, Kishanpur, Dehradun 248009, Dehradun, Uttarakhand, 248009",Visit Website +91 135 273 4356,PESHCO-2022-6274,Certified
VIVEKANANDA NETRALAYA HOSPITAL,VIVEKANANDA NETRALAYA HOSPITAL Dehradun Uttarakhand,NA,EYE/2025/C0748,Empaneled
Vivekananda Polyclinic & Institute of Medical Sciences,"VIVEKANANDA PURAM, Lucknow, Uttar Pradesh, 226020",+91 90821 02638,H-2018-0516,Accredited
Vivekanandha Medical Care Hospital,"VIVEKANANDHA MEDICAL CARE HOSPITAL, ELAYAMPALAYAM, TIRUCHENGODE, NAMAKKAL, Tamil Nadu, India, 637205",Visit Website +91 73731 00100,PEH-2016-0084,Certified
VK Ayurveda Hospital,VK Ayurveda Hospital Thiruvarur Tamil Nadu,NA,EAH-2025-0103,Certified
VK Neurocare And Trauma Research Hospital,"N-159,model town, Model town, Hisar, Haryana - 125001, Hisar, Haryana, 125001",NA,SHCO-2018-0142,Accredited
VKC Smarak Hospital,"SIYANA ROAD, VILL- SADARPUR, BAHADURGARH, GARHMUKTESHWAR, HAPUR, UTTAR PRADESH - 245208, Ghaziabad, Uttar Pradesh, 245208",Visit Website +91 84750 09200,PESHCO-2024-9151,Certified
Vohra Eye Hospital,"R-15, GOBIND NAGAR, JAGADHRI ROAD, AMBALA CANTT., R-15, GOBIND NAGAR, JAGADHRI ROAD, AMBALA CANTT., Ambala Cantt., Ambala, Haryana, India, 133001",Visit Website +91 92151 42422,ECO-2023-0434,Accredited
Vohra Mother & child care nursing home,Vohra Mother & child care nursing home Dehradun Uttarakhand,NA,2020-1470,Empaneled
VOHRA MOTHER AND CHILD CARE NURSING HOME,VOHRA MOTHER AND CHILD CARE NURSING HOME Dehradun Uttarakhand,NA,ECE-2021-0191,Empaneled
VR Revankar Hospital (A Unit of Radvinn Health Care Private Limited),VR Revankar Hospital (A Unit of Radvinn Health Care Private Limited) Bangalore Karnataka,NA,PESHCO-2026-11740,Certified
Vrajshree Multispeciality Hospital LLP,Vrajshree Multispeciality Hospital LLP Ahmedabad Gujarat,NA,PESHCO-2026-11842,Certified
Vrandavan Hospital Private Limited,"VRANDAVAN GARDEN, MAIN CROSSING NOIDA EXT ROAD SHAHBERI, EXT. GAUTAM BUDHA NAGAR, GHAZIABAD-201301, Ghaziabad, Uttar Pradesh, 201301",Visit Website +91 96434 01882,PEH-2025-2849,Certified
"Vrikshakalpa Ayurveda & Panchkarma Hospital, A Unit Of Vrikshakalpa Herbal Llp (Run By Aanr Wellness Pvt. Ltd.),Greater","Plot No 30/16, 1st & 2nd Floor,Opposite VIP Floors, Opposite Puri VIP Floors, Above Versa , Water Works,Sector 81, Greater Faridabad, Haryana, India, 121002",NA,AH-2024-0268,Accredited
Vrinda Diagnostic Centre Pvt. Ltd.,"Dag No. 237, Mouza 03, Part No. XVIII, Binnaguri, Jatiakali, Siliguri,, Ghaziabad, Uttar Pradesh, 734015",NA,LAB/2024/C0198,Empaneled
"Vrinda Diagnostic Centre Pvt. Ltd., III B-10, Nehru Nagar","Vrinda Diagnostic Centre Pvt. Ltd., III B-10, Nehru Nagar Ghaziabad Uttar Pradesh",NA,2019-1215,Empaneled
Vrinda Hospital,Vrinda Hospital Ghaziabad Uttar Pradesh,NA,PESHCO-2026-11909,Certified
Vrindaa Super Super Speciality Hospital and Cancer Research Centre,"PLOT NO -14 E, OPP:PINNACLE HOSPITAL,HEALTH CITY,VISAKHAPATNAM-530040, Visakhapatnam, Andhra Pradesh, 530040",Visit Website,PESHCO-2024-9156,Certified
VRR Scan,"NO.10, HABIBULLAH ROAD , T.NAGAR , CHENNAI , CHENNAI , Tamil Nadu, India, 600017",+91 44 2834 5467,MIS-2014-0013,Accredited
Vrudam Institute of Medical Science,"Puna Patia Cross Road, Kangaroo Circle Surat - Kadodara Rd, Parvat Patiya Surat - 395010, Gujarat",Visit Website +91 73832 80022,H-2025-1531,Accredited
Vrundavan Hospital Multispeciality Center,"PACHORA,, Jalgaon, Maharashtra, 425001",NA,PESHCO-2024-9240,Certified
"VSM Hospital, Mayelikara","VSM Hospital, Mayelikara Alappuzha Kerala",Visit Website +91 90723 13155,2016-0899,Empaneled
VUE EYE CARE CENTRE,"UPPER GROUND FLOOR, PLOT NO. 25, POCKET 17, SECTOR-24, ROHINI, NEW DELHI 110086, North West Delhi, Delhi, 110086",NA,EYE/2023/C0169,Empaneled
VY Institute of Medical Science Pvt. Ltd.,"Near Sector 12, Kamal Vihar, Dhamtari Road Raipur - 492001, Chhattisgarh",NA,H-2025-1520,Accredited
Vyara MRI Centre a Unit of Snap Imaging Private Litimited,"1st floor, Shiv Shakti Complex, Near shanidev Mandir, Musa Char Rasta, Vyara, Tapi, Gujarat, India, 394650",NA,MIS-2025-0336,Accredited
Vyas Hospital and Research Centre,"DUPADA ROAD, SHAJAPUR, Shajapur, Madhya Pradesh, 465001",+91 89897 22888,PESHCO-2024-10222,Certified
Vyas Superspeciality Hospital,"N.H. - 62 , Vyas Campus Near Kudi Haud, Pali Road, Jhalamand Jodhpur - 342005, Rajasthan",Visit Website +91 291 295 9108,H-2024-1471,Accredited
"Vyawahare Netralaya VMV Road, Rathi Nagar, Amravati Maharashtra - 444603","Vyawahare Netralaya VMV Road, Rathi Nagar, Amravati Maharashtra - 444603 Amravati Maharashtra",Visit Website +91 93701 09617,2019-1531,Empaneled
Vydehi Hospital,"#82 EPIP AREA, Whitefield, Bangalore, Karnataka, 560066",NA,DH-P-2024-0021,Accredited
Vydehi Hospital,"82 EPIP Area, Whitefield Bengaluru - 560066, Karnataka",Visit Website +91 80 4906 9000,H-2019-0672,Accredited
Vydehi Super Speciality Hospital,"NO.2,VITTAL MALLYA ROAD,ASHOK NAGAR,BENGALURU-560001, Bangalore, Bangalore, 560001",NA,H-2025-1704,Accredited
VYWS Dental College & Hospital,"Wadali Road, Tapovan Wadali Road Camp, Amravati, Amravati, Maharashtra, India, 444602",Visit Website +91 721 266 2166,D-2024-0406,Accredited
"W-Pratiksha Hospital, Golf Course Extension Road Sector 56, Sushant Lok II","W-Pratiksha Hospital, Golf Course Extension Road Sector 56, Sushant Lok II Gurgaon Haryana",NA,2018-0975,Empaneled
WADGAONKAR EYE HOSPITAL,"126, SAMARTH NAGAR, AURANGABAD, Aurangabad, Maharashtra, 431001",NA,EYE/2023/C0330,Empaneled
WADGAONKAR EYE HOSPITAL,WADGAONKAR EYE HOSPITAL Aurangabad Maharashtra,Visit Website +91 81491 60703,EYE/2023/E0266,Empaneled
Wadi Hospital,"Near Pukhraj Cinema, G.T Road, Bathinda, Bathinda, Punjab, 151001",NA,PESHCO-2025-11550,Certified
Wagh Eye Clinic,Wagh Eye Clinic Pune Maharashtra,NA,PESHCO-2020-2964,Certified
"Wagh Eye Clinic, 1194 /24, 6 Mugut Apartment Opp Suman Nursing Home, Ghole Road, Shivajinagar","Wagh Eye Clinic, 1194 /24, 6 Mugut Apartment Opp Suman Nursing Home, Ghole Road, Shivajinagar Pune Maharashtra",NA,2015-0277,Empaneled
Wagholikar Eye Clinic,Wagholikar Eye Clinic Satara Maharashtra,+91 94225 08994,2016-0701,Empaneled
Wagholikar Eye Clinic,"13,A,MALHAR PETH,NEAR POLICE HEADQUARTERS,SATARACITY, 415001, Satara, Maharashtra, 415001",+91 94225 08994,PESHCO-2024-10237,Certified
Walimbe Eye Clinic,"""Delite Square"", Stilt & Mezzanine floor, 82/1B, Plot no 25, , Near Aranyeshwar Temple, Sahakar Nagar,, Pune, Pune, Maharashtra, India, 411009",NA,PESHCO-2018-0791,Certified
Waluj Hospital,"Plot No 494, Gut No. 181 Tisgaon Village, Waluj Mahanagar-1, CIDCO, Waluj Aurangabad - 431136, Maharashtra",+91 96570 88881,H-2025-1517,Accredited
